country,subj_id,gender,age,experimenter,location,character_cat,character_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,11,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,12,universal,feel sad,like when you feel bad or unhappy,no,no,0,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,13,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,14,universal,think about things,like when you have a thought or an idea about something,yes,yes,1,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,15,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,16,universal,"feel sick, like when you feel like you might vomit",[NONE],kind of,kind of,0.5,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,17,universal,get angry,like when you feel mad,yes,yes,1,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,18,universal,pray,like when you pray,no,no,0,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,19,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,20,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,21,universal,feel tired,like when you feel sleepy,no,no,0,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,22,universal,get hungry,like when you feel like you need to eat something,yes,yes,1,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,23,universal,feel happy,like when you feel good,no,no,0,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,24,universal add-on,have souls,[NONE],no,no,0,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,25,universal add-on,have minds,[NONE],yes,yes,1,NA
US,us_children_029_beetles,female,10,NAP,tech,universal,beetles,beetles,5,26,universal add-on,bleed if they touch something sharp,[NONE],kind of,kind of,0.5,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,1,universal,choose what to do,like when you decide between different things,kind of,kind of,0.5,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,2,universal,feel happy,like when you feel good,yes,yes,1,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,3,universal,feel pain,like when something hurts you,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,4,universal,think about things,like when you have a thought or an idea about something,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,5,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,6,universal,feel love,like when you really like somebody and care about them a lot,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,7,universal,get hungry,like when you feel like you need to eat something,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,8,universal,hear things,like when you hear a noise,yes,yes,1,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,9,universal,pray,like when you pray,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,10,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,11,universal,sense when things are far away,like when you see that something is far away from you,kind of,kind of,0.5,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,12,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,13,universal,remember things,like when you remember something that happened before,yes,yes,1,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,14,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,15,universal,feel scared,like when you feel afraid,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,16,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,17,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,18,universal,feel sad,like when you feel bad or unhappy,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,19,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,20,universal,feel proud,like when you feel really good about something you did,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,21,universal,get angry,like when you feel mad,no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,22,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,yes,yes,1,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,23,universal,feel tired,like when you feel sleepy,kind of,kind of,0.5,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,24,universal add-on,have minds,[NONE],no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,25,universal add-on,have souls,[NONE],no,no,0,NA
US,us_children_030_cellphones,male,12,NAP,tech,universal,cellphones,cellphones,6,26,universal add-on,bleed if they touch something sharp,[NONE],no,no,0,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,1,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,3,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,4,universal,get hungry,like when you feel like you need to eat something,no,no,0,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,5,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,6,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,7,universal,feel happy,like when you feel good,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,8,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,9,universal,get angry,like when you feel mad,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,10,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,11,universal,feel pain,like when something hurts you,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,12,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,13,universal,feel sad,like when you feel bad or unhappy,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,14,universal,feel tired,like when you feel sleepy,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,15,universal,feel proud,like when you feel really good about something you did,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,16,universal,pray,like when you pray,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,17,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,18,universal,feel scared,like when you feel afraid,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,19,universal,feel guilty,like when you feel bad because you did something mean,kind of,kind of,0.5,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,20,universal,choose what to do,like when you decide between different things,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,21,universal,think about things,like when you have a thought or an idea about something,kind of,kind of,0.5,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,22,universal,hear things,like when you hear a noise,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,23,universal,remember things,like when you remember something that happened before,yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,24,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,25,universal add-on,have souls,[NONE],yes,yes,1,NA
US,us_children_031_children,male,12,NAP,tech,universal,children,children,1,26,universal add-on,have minds,[NONE],yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,1,universal,feel happy,like when you feel good,kind of,kind of,0.5,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,2,universal,get hungry,like when you feel like you need to eat something,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,3,universal,feel tired,like when you feel sleepy,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,4,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,5,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,6,universal,pray,like when you pray,no,no,0,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,7,universal,get angry,like when you feel mad,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,8,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,9,universal,feel guilty,like when you feel bad because you did something mean,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,10,universal,think about things,like when you have a thought or an idea about something,kind of,kind of,0.5,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,11,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,12,universal,feel sad,like when you feel bad or unhappy,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,13,universal,sense temperatures,like when you can tell if something is warm or cool,kind of,kind of,0.5,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,14,universal,choose what to do,like when you decide between different things,no,no,0,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,15,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,16,universal,feel pain,like when something hurts you,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,17,universal,remember things,like when you remember something that happened before,kind of,kind of,0.5,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,18,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,19,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,20,universal,sense when things are far away,like when you see that something is far away from you,kind of,kind of,0.5,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,21,universal,hear things,like when you hear a noise,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,22,universal,feel scared,like when you feel afraid,yes,yes,1,NA
US,us_children_032_dogs,female,7,NAP,tech,universal,dogs,dogs,2,23,universal,feel proud,like when you feel really good about something you did,no,no,0,NA
